#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-401.0,100,147.226874
-470.0,31,147.258627
-470.0,31,147.294849
-405.0,96,147.409789
-405.0,96,147.514488
-405.0,96,147.609121
-405.0,96,147.702968
-405.0,96,147.794128
-386.0,115,147.909373
-405.0,96,148.002586
-470.0,31,148.032366
-405.0,96,148.130239
-470.0,31,148.156237
-405.0,96,148.240403
-405.0,96,148.327976
-470.0,31,148.355757
-387.0,114,148.455934
-405.0,96,148.58677
-399.0,102,148.690952
-401.0,100,148.805333
-399.0,102,148.907566
-404.0,97,148.997546
-405.0,96,149.08604
-405.0,96,149.171411
-470.0,31,152.159931
-405.0,96,152.266455
-470.0,31,152.2977
-398.0,103,152.397495
-470.0,31,152.426966
-470.0,31,152.474034
-405.0,96,152.576818
-470.0,31,152.610462
-470.0,31,152.645924
-405.0,96,152.758595
-470.0,31,152.799331
-405.0,96,152.914131
-470.0,31,152.94387
-405.0,96,153.040831
-405.0,96,153.128658
-405.0,96,153.215448
-405.0,96,153.293725
-470.0,31,153.320964
-405.0,96,153.401798
-470.0,31,153.425479
-470.0,31,153.45128
-405.0,96,153.534669
-470.0,31,153.559805
-470.0,31,153.588782
-402.0,99,153.687686
-405.0,96,153.78182
-470.0,31,153.80702
-405.0,96,153.887935
-470.0,31,153.914769
-405.0,96,153.991911
-470.0,31,154.021876
-470.0,31,154.047719
-405.0,96,156.432082
-405.0,96,156.519016
-470.0,31,156.545858
-405.0,96,156.641339
-280.0,122,156.754238
-470.0,31,156.784623
-470.0,31,156.814939
-388.0,113,156.923778
-405.0,96,157.009534
-470.0,31,157.036786
-470.0,31,157.066123
-470.0,31,157.094439
-470.0,31,157.125523
-470.0,31,157.154516
-405.0,96,157.299747
-470.0,31,157.332389
-470.0,31,157.362257
-470.0,31,157.393893
-470.0,31,157.427369
-470.0,31,157.45924
-470.0,31,157.489208
-470.0,31,157.52002
-470.0,31,157.547388
-470.0,31,157.575018
-470.0,31,157.605009
-470.0,31,157.636926
-470.0,31,157.668332
-405.0,96,157.771105
-470.0,31,157.80605
-405.0,96,157.89977
-405.0,96,157.997092
-470.0,31,158.026096
-470.0,31,158.057271
-405.0,96,158.149858
-405.0,96,158.243124
-470.0,31,158.272712
-405.0,96,158.360405
-405.0,96,158.442204
-392.0,109,161.108405
-405.0,96,161.201064
-405.0,96,161.291494
-470.0,31,161.321321
-405.0,96,161.41448
-470.0,31,161.443894
-405.0,96,161.536441
-392.0,109,161.650304
-401.0,100,161.785811
-470.0,31,161.829915
-396.0,105,162.074338
-470.0,31,162.136065
-405.0,96,162.278981
-397.0,104,162.429274
-470.0,31,162.468716
-400.0,101,162.592706
-402.0,99,162.720765
-470.0,31,162.758857
-405.0,96,162.880316
-470.0,31,162.92324
-405.0,96,163.049603
-405.0,96,163.171184
-470.0,31,163.210794
-401.0,100,163.328671
-262.0,140,163.492259
-381.0,120,167.966959
-470.0,31,168.007893
-402.0,99,168.117097
-405.0,96,168.220547
