#{"t_start": 1761576449.4221244, "env_id": "None"}
r,l,t
-470.0,31,73.060629
-470.0,31,73.081468
-470.0,31,73.099406
-470.0,31,73.122628
-470.0,31,73.142765
-470.0,31,73.163822
-470.0,31,73.1815
-470.0,31,73.20003
-470.0,31,73.220389
-470.0,31,73.241474
-470.0,31,73.258723
-470.0,31,73.279053
-470.0,31,73.297045
-470.0,31,73.315633
-470.0,31,73.333433
-470.0,31,73.352286
-470.0,31,73.371196
-470.0,31,73.390811
-470.0,31,73.409648
-470.0,31,73.436235
-470.0,31,73.455149
-470.0,31,73.472409
-470.0,31,73.496703
-470.0,31,73.516884
-470.0,31,73.895266
-470.0,31,73.920612
-470.0,31,73.941509
-470.0,31,73.964413
-470.0,31,73.985498
-470.0,31,74.003628
-470.0,31,74.020877
-470.0,31,74.038975
-470.0,31,74.057842
-470.0,31,74.078603
-470.0,31,74.096968
-470.0,31,74.116719
-470.0,31,74.136748
-470.0,31,74.156222
-470.0,31,74.174909
-470.0,31,74.193547
-470.0,31,74.21351
-470.0,31,74.231718
-470.0,31,74.2502
-470.0,31,74.270132
-470.0,31,74.289677
-470.0,31,74.314914
-470.0,31,74.333211
-470.0,31,74.354898
-470.0,31,74.371845
-470.0,31,74.391212
-470.0,31,74.411639
-470.0,31,74.433008
-470.0,31,74.45201
-470.0,31,74.471502
-470.0,31,74.489837
-470.0,31,74.506439
-470.0,31,74.523432
-470.0,31,74.856307
-470.0,31,74.874618
-470.0,31,74.891938
-470.0,31,74.913332
-470.0,31,74.932535
-470.0,31,74.955384
-470.0,31,74.9757
-470.0,31,74.995547
-470.0,31,75.015361
-470.0,31,75.041119
-470.0,31,75.062799
-470.0,31,75.084785
-470.0,31,75.103775
-470.0,31,75.12999
-470.0,31,75.153286
-470.0,31,75.177301
-470.0,31,75.198114
-470.0,31,75.216318
-470.0,31,75.23403
-470.0,31,75.252475
-470.0,31,75.269696
-470.0,31,75.287133
-470.0,31,75.305597
-470.0,31,75.326194
-470.0,31,75.346606
-470.0,31,75.363995
-470.0,31,75.38369
-470.0,31,75.403996
-470.0,31,75.423375
-470.0,31,75.442464
-470.0,31,75.463621
-470.0,31,75.483467
-470.0,31,75.504369
-470.0,31,75.832624
-470.0,31,75.853371
-470.0,31,75.88003
-470.0,31,75.898933
-470.0,31,75.917504
-470.0,31,75.937353
