#{"t_start": 1761577018.0846298, "env_id": "None"}
r,l,t
-90.5,96,178.51522
-90.5,96,178.712312
-90.5,96,178.935124
-90.5,96,179.158238
-92.6,75,179.319324
-91.2,89,179.559067
-90.5,96,179.769416
-97.0,31,179.84153
-90.0,101,180.069242
-90.5,96,180.285912
-90.5,96,180.512031
-90.5,96,180.730447
-95.0,51,180.884463
-90.5,96,181.141087
-90.5,96,181.355455
-90.5,96,181.544228
-90.5,96,181.742223
-90.5,96,181.957577
-92.2,79,182.125531
-95.5,46,182.229493
-90.5,96,182.445395
-90.5,96,182.653112
-90.5,96,182.856071
-91.6,85,183.041172
-90.5,96,183.252675
-90.5,96,183.46042
-92.6,75,183.615426
-90.5,96,183.810244
-90.5,96,184.004628
-90.5,96,184.203816
-96.2,39,184.279227
-96.0,41,184.368175
-90.5,96,184.606441
-90.5,96,184.901192
-90.5,96,185.108833
-90.5,96,185.310032
-90.5,96,185.515175
-90.5,96,185.721252
-90.5,96,185.924437
-89.8,103,186.454074
-94.1,60,186.593385
-90.5,96,186.834173
-90.5,96,187.081052
-90.5,96,187.304622
-97.0,31,187.364021
-97.0,31,187.440489
-90.5,96,187.699786
-90.5,96,187.950782
-90.5,96,188.203927
-90.5,96,188.415943
-97.0,31,188.484795
-90.5,96,188.696949
-90.2,99,188.945989
-90.5,96,189.162242
-97.0,31,189.227176
-90.5,96,189.443408
-90.5,96,189.655663
-95.4,47,189.766014
-90.5,96,189.990729
-95.8,43,190.121172
-90.5,96,190.347073
-90.5,96,190.559926
-90.5,96,190.768848
-93.1,70,190.914973
-90.5,96,191.131025
-90.5,96,191.372709
-96.5,36,191.463422
-97.0,31,191.545938
-90.3,98,191.765084
-94.0,61,191.91338
-90.5,96,192.123555
-90.5,96,192.34233
-90.5,96,192.553582
-90.0,101,192.811028
-90.5,96,193.033168
-90.5,96,193.235385
-90.5,96,193.417844
-90.5,96,193.627294
-90.0,101,193.832306
-97.0,31,193.898078
-90.1,100,194.097648
-93.3,68,194.233065
-90.5,96,194.415373
-97.0,31,194.480625
-90.5,96,194.662547
-90.5,96,194.852084
-90.4,97,195.05479
-91.1,90,195.249399
-90.5,96,195.448361
-94.1,60,195.577882
-89.6,105,195.811627
-90.5,96,196.052341
-89.9,102,196.486686
-90.5,96,196.768943
-94.1,60,196.943964
-90.5,96,197.202191
-90.5,96,197.47507
-96.2,39,197.59972
-90.5,96,197.904232
-93.5,66,198.143733
-90.4,97,198.403352
-90.5,96,198.684031
-90.5,96,198.938759
-90.5,96,199.184186
-93.7,64,199.34656
-90.5,96,199.578165
-93.0,71,199.746123
-88.5,116,200.007414
-89.9,102,200.285507
-90.5,96,200.516019
-90.5,96,200.737223
-96.3,38,200.844378
-90.5,96,201.104311
-97.0,31,201.178544
-90.5,96,201.394704
-91.9,82,201.594492
-97.0,31,201.660035
-90.5,96,201.881413
-90.5,96,202.141426
-90.5,96,202.382108
-97.0,31,202.468347
-90.5,96,202.718837
-90.5,96,202.948234
-90.5,96,203.197245
-90.5,96,203.426473
-93.4,67,203.59498
-96.6,35,203.676317
-90.5,96,203.934343
-97.0,31,204.009412
-96.5,36,204.093546
-90.1,100,204.317169
-90.5,96,204.516217
-97.0,31,204.583453
-90.5,96,204.7857
-90.5,96,205.000145
-90.5,96,205.209522
-96.3,38,205.295421
-89.4,107,205.537212
-94.9,52,205.657879
-93.8,63,205.794136
-90.5,96,206.018936
-90.5,96,206.274052
-90.5,96,206.547772
-97.0,31,206.649571
-97.0,31,206.723213
-94.6,55,206.875681
-90.5,96,207.109681
-95.5,46,207.222154
-90.5,96,207.559404
-90.5,96,207.825849
-94.0,61,207.983516
-97.0,31,208.06371
-90.5,96,208.287435
-90.5,96,208.508554
-90.5,96,208.806126
-90.5,96,209.048193
-90.5,96,209.285812
-97.0,31,209.367905
-97.0,31,209.443879
-92.2,79,209.619752
-97.0,31,209.694719
-88.7,114,209.983742
-90.5,96,210.216503
-90.5,96,210.442097
-90.5,96,210.65276
-92.0,81,211.001172
-97.0,31,211.058967
-90.5,96,211.281532
-90.5,96,211.521548
-90.5,96,211.722886
-90.5,96,211.922512
-90.5,96,212.133823
-90.5,96,212.367943
-90.5,96,212.584191
-90.5,96,212.794549
-90.5,96,213.00929
-90.5,96,213.214973
-92.5,76,213.376374
-90.5,96,213.542638
-90.5,96,213.737649
-90.5,96,213.963743
-97.0,31,214.035812
