#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-90.5,96,83.463763
-90.5,96,83.593909
-90.5,96,83.709228
-90.5,96,83.821157
-90.5,96,83.942921
-90.5,96,84.073739
-90.5,96,84.201868
-90.5,96,85.559828
-90.5,96,85.688457
-90.5,96,85.807077
-90.5,96,85.925089
-90.5,96,86.044091
-90.5,96,86.164898
-90.6,95,86.28446
-90.5,96,86.425422
-90.5,96,86.576764
-90.5,96,86.692638
-90.5,96,86.821377
-90.5,96,86.953353
-90.5,96,87.084123
-90.5,96,87.201747
-90.5,96,87.317305
-90.5,96,87.430002
-90.6,95,87.562881
-91.7,84,87.678835
-90.5,96,87.793531
-90.5,96,87.910544
-90.5,96,88.036743
-97.0,31,88.083575
-90.5,96,89.360017
-90.5,96,89.503429
-90.5,96,89.627487
-90.5,96,89.748346
-90.5,96,89.872991
-90.5,96,89.997264
-90.7,94,90.14117
-90.5,96,90.284215
-90.5,96,90.424285
-90.5,96,91.042359
-90.5,96,91.18943
-90.5,96,91.319354
-90.5,96,91.429629
-90.5,96,91.55654
-90.5,96,91.693596
-90.5,96,91.829249
-90.5,96,91.958153
-90.5,96,92.076676
-90.5,96,92.188949
-90.5,96,92.299222
-90.5,96,92.421945
-90.5,96,92.532887
-90.5,96,93.630071
-90.5,96,93.749221
-90.5,96,93.875823
-90.5,96,94.040183
-90.5,96,94.186865
-90.5,96,94.331439
-90.5,96,94.455553
-90.5,96,94.572456
-90.5,96,94.683604
-90.5,96,94.796499
-90.5,96,94.919758
-90.5,96,95.036451
-90.5,96,95.180013
-90.5,96,95.309248
-90.1,100,95.435349
-90.5,96,95.561889
-90.5,96,95.696327
-90.5,96,95.842603
-90.5,96,95.978491
-90.5,96,96.121525
-90.5,96,96.272929
-90.5,96,97.530862
-90.5,96,97.651369
-90.5,96,97.766643
-90.5,96,97.880008
-90.5,96,97.997257
-90.4,97,98.116774
-90.5,96,98.236272
-90.5,96,98.393862
-90.5,96,98.513213
-90.5,96,98.651367
-90.5,96,98.780302
-90.5,96,98.917005
-90.5,96,99.036864
-90.5,96,99.152027
-90.5,96,99.269531
-90.5,96,99.38411
-90.5,96,99.508727
-90.5,96,99.634151
-90.5,96,99.746431
-90.5,96,99.86524
-90.5,96,99.996174
-90.5,96,101.356435
-90.5,96,101.510958
-90.5,96,101.664093
-90.5,96,101.818406
-90.5,96,101.944062
-90.5,96,102.061122
-90.5,96,102.203878
-90.5,96,102.329149
-90.5,96,102.452234
-90.5,96,102.607718
-90.5,96,102.726881
-90.5,96,102.851351
-90.5,96,102.967645
-90.5,96,103.076099
-90.5,96,103.193596
-90.5,96,103.307813
-90.5,96,103.437761
-90.5,96,103.59091
-90.5,96,103.71784
-90.5,96,103.832566
-90.5,96,103.94955
-90.5,96,105.112878
-90.5,96,105.244508
-90.5,96,105.365585
-90.5,96,105.4963
-90.5,96,105.634266
-90.5,96,105.781708
-90.5,96,105.927211
-90.5,96,106.059826
-90.5,96,106.188743
-90.5,96,106.319225
-90.5,96,106.438993
-90.5,96,106.559384
-90.5,96,106.715538
-90.5,96,106.845175
-90.5,96,106.996221
-90.5,96,107.134762
-90.5,96,107.301477
-90.5,96,107.466332
-90.5,96,107.608215
-90.5,96,107.781436
-90.5,96,107.916025
-90.5,96,108.079873
-90.5,96,109.47342
-91.8,83,109.582747
-90.5,96,109.734491
-90.5,96,109.869661
-90.5,96,109.998979
-90.5,96,110.15215
-90.5,96,110.832917
-90.5,96,110.953207
-90.5,96,111.083608
-90.5,96,111.250098
-90.5,96,111.379627
-90.5,96,111.513705
-90.5,96,111.654676
-90.5,96,111.781394
-90.5,96,111.914881
-90.5,96,112.037253
-90.5,96,112.179448
-90.5,96,112.316832
-90.5,96,112.439671
-90.5,96,112.606183
-90.5,96,112.727789
-90.5,96,114.11175
-90.5,96,114.248048
-90.5,96,114.398106
-90.5,96,114.54276
-90.5,96,114.679508
-90.5,96,114.811148
-90.5,96,114.943267
-90.5,96,115.071275
-90.5,96,115.210738
-90.5,96,115.418157
-90.5,96,115.615844
-90.5,96,115.751435
-90.5,96,115.887451
-90.5,96,116.014065
-90.5,96,116.134875
-90.5,96,116.262713
-90.5,96,116.401606
-90.5,96,116.537437
-90.5,96,116.657208
-90.5,96,116.826153
-90.5,96,116.953861
